audio_id,label
dia452_utt0,0
dia288_utt18,0
dia501_utt1,4
dia338_utt11,0
dia186_utt2,4
dia2_utt5,0
dia902_utt10,4
dia632_utt11,3
dia443_utt1,0
dia161_utt1,4
dia545_utt7,0
dia953_utt16,1
dia953_utt15,1
dia529_utt8,0
dia1029_utt14,4
dia96_utt1,0
dia831_utt6,3
dia23_utt6,0
dia125_utt7,0
dia889_utt4,0
dia289_utt5,0
dia652_utt11,0
dia400_utt3,0
dia673_utt8,0
dia960_utt10,0
dia187_utt0,3
dia560_utt0,4
dia996_utt8,6
dia572_utt8,6
dia901_utt15,1
dia972_utt8,4
dia990_utt19,6
dia82_utt11,0
dia887_utt1,1
dia218_utt9,0
dia888_utt13,0
dia672_utt13,0
dia940_utt4,0
dia304_utt6,0
dia146_utt1,3
dia6_utt4,0
dia365_utt14,6
dia475_utt4,0
dia256_utt2,6
dia301_utt11,4
dia844_utt19,0
dia798_utt2,0
dia354_utt12,0
dia395_utt3,4
dia568_utt10,6
dia888_utt7,0
dia115_utt4,6
dia465_utt5,1
dia947_utt5,4
dia872_utt0,3
dia933_utt10,1
dia545_utt1,3
dia238_utt0,0
dia160_utt12,4
dia651_utt5,0
dia1025_utt1,5
dia777_utt0,0
dia792_utt10,1
dia148_utt11,0
dia831_utt4,6
dia306_utt6,4
dia195_utt12,0
dia657_utt1,0
dia576_utt7,4
dia150_utt0,2
dia554_utt11,5
dia680_utt14,3
dia597_utt10,0
dia480_utt4,1
dia642_utt3,0
dia676_utt10,6
dia728_utt10,1
dia389_utt1,6
dia968_utt0,0
dia887_utt10,0
dia847_utt3,4
dia1038_utt2,0
dia988_utt5,0
dia607_utt6,1
dia930_utt4,0
dia2_utt3,3
dia281_utt0,4
dia99_utt2,4
dia935_utt13,0
dia966_utt1,1
dia445_utt13,6
dia698_utt6,1
dia724_utt2,0
dia585_utt11,1
dia541_utt8,4
dia874_utt6,6
dia384_utt2,0
dia338_utt16,0
dia214_utt1,0
dia990_utt3,0
dia350_utt5,0
dia875_utt2,0
dia699_utt4,0
dia763_utt9,4
dia994_utt6,6
dia415_utt5,0
dia318_utt0,0
dia29_utt10,6
dia536_utt0,1
dia503_utt15,0
dia296_utt4,0
dia223_utt14,0
dia179_utt0,0
dia1029_utt9,0
dia73_utt1,4
dia670_utt12,0
dia884_utt14,0
dia768_utt6,4
dia223_utt9,0
dia590_utt8,3
dia483_utt13,0
dia521_utt4,3
dia666_utt15,4
dia886_utt7,4
dia869_utt15,5
dia445_utt18,6
dia514_utt3,0
dia221_utt0,0
dia114_utt3,4
dia287_utt12,4
dia151_utt11,3
dia737_utt8,0
dia989_utt2,3
dia703_utt2,0
dia114_utt1,1
dia50_utt12,0
dia902_utt7,0
dia72_utt2,0
dia122_utt0,1
dia1017_utt1,3
dia541_utt6,0
dia545_utt12,0
dia392_utt4,4
dia113_utt3,0
dia516_utt1,4
dia464_utt3,1
dia530_utt16,3
dia120_utt4,2
dia777_utt12,0
dia911_utt2,1
dia52_utt7,0
dia203_utt1,1
dia914_utt0,4
dia509_utt1,0
dia311_utt11,0
dia908_utt10,0
dia517_utt2,0
dia783_utt7,0
dia24_utt0,0
dia156_utt4,0
dia760_utt3,1
dia860_utt0,1
dia959_utt2,0
dia1036_utt11,0
dia541_utt5,4
dia530_utt18,0
dia860_utt1,0
dia885_utt0,4
dia82_utt5,0
dia886_utt2,0
dia94_utt14,0
dia851_utt16,0
dia896_utt5,0
dia183_utt6,0
dia583_utt6,2
dia326_utt1,1
dia802_utt2,0
dia54_utt11,0
dia844_utt5,3
dia908_utt0,2
dia598_utt2,6
dia607_utt13,4
dia3_utt4,0
dia542_utt1,6
dia671_utt8,1
dia1008_utt5,0
dia725_utt1,4
dia486_utt15,3
dia554_utt9,5
dia810_utt4,2
dia425_utt3,1
dia690_utt2,4
dia1034_utt2,1
dia611_utt2,0
dia961_utt2,0
dia40_utt4,0
dia476_utt10,2
dia730_utt0,1
dia109_utt9,4
dia850_utt1,0
dia153_utt2,0
dia312_utt18,3
dia204_utt4,0
dia56_utt0,1
dia747_utt17,0
dia457_utt0,0
dia414_utt1,0
dia225_utt0,5
dia279_utt3,2
dia1022_utt11,1
dia571_utt0,0
dia202_utt3,0
dia206_utt8,0
dia225_utt2,4
dia67_utt5,4
dia145_utt17,0
dia171_utt2,0
dia573_utt3,4
dia405_utt2,6
dia576_utt0,2
dia9_utt5,0
dia434_utt12,0
dia851_utt19,0
dia273_utt17,5
dia220_utt5,0
dia49_utt0,0
dia611_utt11,0
dia630_utt9,1
dia476_utt1,0
dia613_utt6,0
dia659_utt0,0
dia63_utt2,4
dia590_utt12,0
dia536_utt4,3
dia791_utt21,0
dia195_utt13,0
dia1023_utt3,1
dia769_utt1,2
dia713_utt0,0
dia82_utt3,5
dia275_utt2,0
dia729_utt1,4
dia629_utt9,0
dia52_utt4,0
dia163_utt0,0
dia231_utt0,0
dia415_utt2,0
dia344_utt7,4
dia659_utt4,0
dia761_utt0,6
dia56_utt6,4
dia228_utt3,1
dia991_utt9,0
dia46_utt3,1
dia682_utt6,4
dia793_utt2,4
dia195_utt14,6
dia262_utt0,0
dia383_utt4,2
dia652_utt0,5
dia571_utt3,0
dia531_utt2,2
dia626_utt8,1
dia772_utt5,4
dia753_utt1,0
dia820_utt1,0
dia992_utt8,5
dia812_utt11,0
dia802_utt4,0
dia158_utt1,0
dia312_utt8,1
dia18_utt9,1
dia678_utt10,1
dia986_utt16,4
dia279_utt10,0
dia917_utt2,4
dia444_utt5,0
dia83_utt0,0
dia659_utt13,4
dia555_utt1,4
dia953_utt9,0
dia464_utt16,4
dia563_utt1,0
dia1037_utt1,0
dia648_utt6,0
dia2_utt8,0
dia745_utt3,1
dia388_utt14,6
dia392_utt3,4
dia158_utt6,3
dia248_utt6,4
dia649_utt12,0
dia6_utt7,0
dia220_utt6,0
dia641_utt1,2
dia295_utt15,0
dia747_utt15,3
dia10_utt5,0
dia356_utt3,1
dia707_utt7,0
dia997_utt3,6
dia596_utt5,3
dia240_utt6,0
dia846_utt1,0
dia1026_utt13,6
dia324_utt4,0
dia949_utt0,3
dia594_utt5,3
dia979_utt5,0
dia695_utt6,4
dia523_utt20,0
dia819_utt18,4
dia153_utt1,4
dia177_utt9,4
dia803_utt6,6
dia939_utt13,1
dia861_utt3,6
dia393_utt5,4
dia793_utt1,0
dia499_utt11,0
dia173_utt3,6
dia192_utt7,5
dia562_utt5,0
dia888_utt9,0
dia901_utt12,0
dia338_utt4,4
dia506_utt10,3
dia0_utt0,0
dia673_utt19,1
dia73_utt6,1
dia24_utt2,0
dia867_utt7,6
dia353_utt0,0
dia116_utt3,1
dia285_utt9,1
dia1036_utt0,4
dia759_utt3,0
dia1007_utt3,6
dia312_utt4,3
dia680_utt4,0
dia557_utt7,6
dia614_utt20,4
dia871_utt3,0
dia695_utt4,4
dia871_utt7,0
dia466_utt15,6
dia1007_utt10,6
dia978_utt4,4
dia132_utt7,0
