No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
74,1,"""The One with the Jellyfish""",Shelley Jensen,Wil Calhoun,"September 25, 1997",466601,29.43[28]
75,2,"""The One with the Cat""",Shelley Jensen,Jill Condon & Amy Toomin,"October 2, 1997",466602,25.54[29]
76,3,"""The One with the Cuffs""",Peter Bonerz,Seth Kurland,"October 9, 1997",466603,23.98[30]
77,4,"""The One with the Ballroom Dancing""",Gail Mancuso,Ted Cohen & Andrew Reich,"October 16, 1997",466604,24.31[31]
78,5,"""The One with Joey's New Girlfriend""",Gail Mancuso,Gregory S. Malins & Michael Curtis,"October 30, 1997",466605,24.35[32]
79,6,"""The One with the Dirty Girl""",Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,"November 6, 1997",466606,25.68[33]
80,7,"""The One Where Chandler Crosses the Line""",Kevin S. Bright,Adam Chase,"November 13, 1997",466607,26.35[34]
81,8,"""The One with Chandler in a Box""",Peter Bonerz,Michael Borkow,"November 20, 1997",466608,26.76[35]
82,9,"""The One Where They're Going to Party!""",Peter Bonerz,Ted Cohen & Andrew Reich,"December 11, 1997",466609,23.89[36]
83,10,"""The One with the Girl from Poughkeepsie""",Gary Halvorson,Scott Silveri,"December 18, 1997",466612,23.22[37]
84,11,"""The One with Phoebe's Uterus""",David Steinberg,Seth Kurland,"January 8, 1998",466610,23.66[38]
85,12,"""The One with the Embryos""",Kevin S. Bright,Jill Condon & Amy Toomin,"January 15, 1998",466611,27.14[39]
86,13,"""The One with Rachel's Crush""",Dana DeVally Piazza,Shana Goldberg-Meehan,"January 29, 1998",466613,25.27[40]
87,14,"""The One with Joey's Dirty Day""",Peter Bonerz,Wil Calhoun,"February 5, 1998",466614,25.08[41]
88,15,"""The One with All the Rugby""",James Burrows,Story by : Ted Cohen & Andrew ReichTeleplay by : Wil Calhoun,"February 26, 1998",466617,24.44[42]
89,16,"""The One with the Fake Party""",Michael Lembeck,Story by : Alicia Sky VarinaitisTeleplay by : Scott Silveri & Shana Goldberg-Meehan,"March 19, 1998",466615,23.13[43]
90,17,"""The One with the Free Porn""",Michael Lembeck,Story by : Mark KunerthTeleplay by : Richard Goodman,"March 26, 1998",466616,23.22[44]
91,18,"""The One with Rachel's New Dress""",Gail Mancuso,Story by : Andrew Reich & Ted CohenTeleplay by : Jill Condon & Amy Toomin,"April 2, 1998",466620,21.72[45]
92,19,"""The One with All the Haste""",Kevin S. Bright,Scott Silveri & Wil Calhoun,"April 9, 1998",466618,21.76[46]
93,20,"""The One with All the Wedding Dresses""",Gail Mancuso,Story by : Adam ChaseTeleplay by : Gregory S. Malins & Michael Curtis,"April 16, 1998",466621,21.94[47]
94,21,"""The One with the Invitation""",Peter Bonerz,Seth Kurland,"April 23, 1998",466619,21.51[48]
95,22,"""The One with the Worst Best Man Ever""",Peter Bonerz,Story by : Seth KurlandTeleplay by : Gregory S. Malins & Michael Curtis,"April 30, 1998",466622,23.15[49]
9697,2324,"""The One with Ross' Wedding""",Kevin S. Bright,Michael BorkowStory by : Jill Condon & Amy ToominTeleplay by : Shana Goldberg-Meehan & Scott Silveri,"May 7, 1998[b]",466623466624,31.61[50]
