No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
98,1,"""The One After Ross Says Rachel""",Kevin S. Bright,Seth Kurland,"September 24, 1998",467651,31.12[51]
99,2,"""The One with All the Kissing""",Gary Halvorson,Wil Calhoun,"October 1, 1998",467652,25.36[52]
100,3,"""The One Hundredth""""The One with the Triplets""",Kevin S. Bright,David Crane & Marta Kauffman,"October 8, 1998",467653,26.82[53]
101,4,"""The One Where Phoebe Hates PBS""",Shelley Jensen,Michael Curtis,"October 15, 1998",467654,24.09[54]
102,5,"""The One with the Kips""",Dana DeValley Piazza,Scott Silveri,"October 29, 1998",467655,25.87[55]
103,6,"""The One with the Yeti""",Gary Halvorson,Alexa Junge,"November 5, 1998",467656,24.99[56]
104,7,"""The One Where Ross Moves In""",Gary Halvorson,Gigi McCreery & Perry Rein,"November 12, 1998",467657,24.44[57]
105,8,"""The One with All the Thanksgivings""",Kevin S. Bright,Gregory S. Malins,"November 19, 1998",467659,23.92[58]
106,9,"""The One with Ross's Sandwich""",Gary Halvorson,Ted Cohen & Andrew Reich,"December 10, 1998",467658,23.03[59]
107,10,"""The One with the Inappropriate Sister""",Dana DeValley Piazza,Shana Goldberg-Meehan,"December 17, 1998",467661,23.67[60]
108,11,"""The One with All the Resolutions""",Joe Regalbuto,Story by : Brian BoyleTeleplay by : Suzie Villandry,"January 7, 1999",467660,27.02[61]
109,12,"""The One with Chandler's Work Laugh""",Kevin S. Bright,Alicia Sky Varinaitis,"January 21, 1999",467663,24.82[62]
110,13,"""The One with Joey's Bag""",Gail Mancuso,Story by : Michael CurtisTeleplay by : Seth Kurland,"February 4, 1999",467662,24.92[63]
111,14,"""The One Where Everybody Finds Out""",Michael Lembeck,Alexa Junge,"February 11, 1999",467664,27.70[64]
112,15,"""The One with the Girl Who Hits Joey""",Kevin S. Bright,Adam Chase,"February 18, 1999",467665,29.31[65]
113,16,"""The One with the Cop""",Andrew Tsao,Story by : Alicia Sky VarinaitisTeleplay by : Gigi McCreery & Perry Rein,"February 25, 1999",467666,26.02[66]
114,17,"""The One with Rachel's Inadvertent Kiss""",Shelley Jensen,Andrew Reich & Ted Cohen,"March 18, 1999",467667,24.48[67]
115,18,"""The One Where Rachel Smokes""",Todd Holland,Michael Curtis,"April 8, 1999",467668,21.88[68]
116,19,"""The One Where Ross Can't Flirt""",Gail Mancuso,Doty Abrams,"April 22, 1999",467669,20.85[69]
117,20,"""The One with the Ride-Along""",Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,"April 29, 1999",467670,19.63[70]
118,21,"""The One with the Ball""",Gary Halvorson,Story by : Scott SilveriTeleplay by : Gregory S. Malins,"May 6, 1999",467671,20.92[71]
119,22,"""The One with Joey's Big Break""",Gary Halvorson,Story by : Shana Goldberg-MeehanTeleplay by : Wil Calhoun,"May 13, 1999",467672,21.28[72]
120121,2324,"""The One in Vegas""",Kevin S. Bright,Ted Cohen & Andrew ReichGregory S. Malins & Scott Silveri,"May 20, 1999[b]",467673467674,25.90[73]
