No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
1,1,"""The Pilot""[a]",James Burrows,David Crane & Marta Kauffman,"September 22, 1994",456650,21.5[11]
2,2,"""The One with the Sonogram at the End""",James Burrows,David Crane & Marta Kauffman,"September 29, 1994",456652,20.2[11]
3,3,"""The One with the Thumb""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"October 6, 1994",456651,19.5[11]
4,4,"""The One with George Stephanopoulos""",James Burrows,Alexa Junge,"October 13, 1994",456654,19.7[11]
5,5,"""The One with the East German Laundry Detergent""",Pamela Fryman,Jeff Greenstein & Jeff Strauss,"October 20, 1994",456653,18.6[11]
6,6,"""The One with the Butt""",Arlene Sanford,Adam Chase & Ira Ungerleider,"October 27, 1994",456655,18.2[11]
7,7,"""The One with the Blackout""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"November 3, 1994",456656,23.5[11]
8,8,"""The One Where Nana Dies Twice""",James Burrows,Marta Kauffman & David Crane,"November 10, 1994",456657,21.1[11]
9,9,"""The One Where Underdog Gets Away""",James Burrows,Jeff Greenstein & Jeff Strauss,"November 17, 1994",456659,23.1[11]
10,10,"""The One with the Monkey""",Peter Bonerz,Adam Chase & Ira Ungerleider,"December 15, 1994",456661,19.9[11]
11,11,"""The One with Mrs. Bing""",James Burrows,Alexa Junge,"January 5, 1995",456660,26.6[11]
12,12,"""The One with the Dozen Lasagnas""",Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,"January 12, 1995",456658,24.0[11]
13,13,"""The One with the Boobies""",Alan Myerson,Alexa Junge,"January 19, 1995",456664,25.8[11]
14,14,"""The One with the Candy Hearts""",James Burrows,Bill Lawrence,"February 9, 1995",456667,23.8[11]
15,15,"""The One with the Stoned Guy""",Alan Myerson,Jeff Greenstein & Jeff Strauss,"February 16, 1995",456663,24.8[11]
16,16,"""The One with Two Parts: Part 1""",Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",456665A,26.1[11]
17,17,"""The One with Two Parts: Part 2""",Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",456665B,30.5[11]
18,18,"""The One with All the Poker""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"March 2, 1995",456662,30.4[11]
19,19,"""The One Where the Monkey Gets Away""",Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,"March 9, 1995",456668,29.4[11]
20,20,"""The One with the Evil Orthodontist""",Peter Bonerz,Doty Abrams,"April 6, 1995",456669,30.0[11]
21,21,"""The One with the Fake Monica""",Gail Mancuso,Adam Chase & Ira Ungerleider,"April 27, 1995",456671,28.4[11]
22,22,"""The One with the Ick Factor""",Robby Benson,Alexa Junge,"May 4, 1995",456670,29.9[11]
23,23,"""The One with the Birth""",James Burrows,Story by : David Crane & Marta KauffmanTeleplay by : Jeff Greenstein & Jeff Strauss,"May 11, 1995",456672,28.7[11]
24,24,"""The One Where Rachel Finds Out""",Kevin S. Bright,Chris Brown,"May 18, 1995",456673,31.3[11]
