No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
122,1,"""The One After Vegas""",Kevin S. Bright,Adam Chase,"September 23, 1999",225551,27.75[74]
123,2,"""The One Where Ross Hugs Rachel""",Gail Mancuso,Shana Goldberg-Meehan,"September 30, 1999",225552,22.95[75]
124,3,"""The One with Ross's Denial""",Gary Halvorson,Seth Kurland,"October 7, 1999",225553,21.60[76]
125,4,"""The One Where Joey Loses His Insurance""",Gary Halvorson,Andrew Reich & Ted Cohen,"October 14, 1999",225554,21.07[77]
126,5,"""The One with Joey's Porsche""",Gary Halvorson,Perry Rein & Gigi McCreery,"October 21, 1999",225555,22.39[78]
127,6,"""The One on the Last Night""",David Schwimmer,Scott Silveri,"November 4, 1999",225556,23.59[79]
128,7,"""The One Where Phoebe Runs""",Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,"November 11, 1999",225557,22.75[80]
129,8,"""The One with Ross's Teeth""",Gary Halvorson,Story by : Andrew Reich & Ted CohenTeleplay by : Perry Rein & Gigi McCreery,"November 18, 1999",225558,22.14[81]
130,9,"""The One Where Ross Got High""",Kevin S. Bright,Gregory S. Malins,"November 25, 1999",225559,19.17[82]
131,10,"""The One with the Routine""",Kevin S. Bright,Brian Boyle,"December 16, 1999",225561,22.43[83]
132,11,"""The One with the Apothecary Table""",Kevin S. Bright,Story by : Zachary RosenblattTeleplay by : Brian Boyle,"January 6, 2000",225560,22.26[84]
133,12,"""The One with the Joke""",Gary Halvorson,Story by : Shana Goldberg-MeehanTeleplay by : Andrew Reich & Ted Cohen,"January 13, 2000",225562,22.33[85]
134,13,"""The One with Rachel's Sister""",Gary Halvorson,Story by : Seth KurlandTeleplay by : Sherry Bilsing-Graham & Ellen Plummer,"February 3, 2000",225563,24.14[86]
135,14,"""The One Where Chandler Can't Cry""",Kevin S. Bright,Andrew Reich & Ted Cohen,"February 10, 2000",225564,23.82[87]
136137,1516,"""The One That Could Have Been""",Michael Lembeck,Gregory S. Malins & Adam ChaseDavid Crane & Marta Kauffman,"February 17, 2000[b]",225565225566,25.89[88]
138,17,"""The One with Unagi""",Gary Halvorson,Story by : Zachary RosenblattTeleplay by : Adam Chase,"February 24, 2000",225568,22.10[89]
139,18,"""The One Where Ross Dates a Student""",Gary Halvorson,Seth Kurland,"March 9, 2000",225567,20.52[90]
140,19,"""The One with Joey's Fridge""",Ben Weiss,Story by : Seth KurlandTeleplay by : Gigi McCreery & Perry Rein,"March 23, 2000",225569,21.46[91]
141,20,"""The One with Mac and C.H.E.E.S.E.""",Kevin S. Bright,Doty Abrams,"April 13, 2000",225575,18.81[92]
142,21,"""The One Where Ross Meets Elizabeth's Dad""",Michael Lembeck,Story by : David J. LaganaTeleplay by : Scott Silveri,"April 27, 2000",225570,20.63[93]
143,22,"""The One Where Paul's the Man""",Gary Halvorson,Story by : Brian CaldirolaTeleplay by : Sherry Bilsing-Graham & Ellen Plummer,"May 4, 2000",225571,20.01[94]
144,23,"""The One with the Ring""",Gary Halvorson,Ted Cohen & Andrew Reich,"May 11, 2000",225572,20.87[95]
145146,2425,"""The One with the Proposal""",Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriAndrew Reich & Ted Cohen,"May 18, 2000[b]",225573225574,30.73[96]
